Greenland_temperature_(ºC),Upper_band,Lower_band,"Age_(B.P.,_radio-carbon_calibrated)","NH_temperature_anomaly_(ºC,_full)","NH_temperature_anomaly_(ºC,_no_volc)",VII_(ºC),"Age_(B.P.,_radio-carbon_calibrated).1",Volcanic_forcing_(W/m2),Greenland temperature (ºC)_scaled,"NH temperature anomaly (ºC, full)_scaled","NH_temperature_anomaly_(ºC,_no_volc)_scaled",Co2(ppm),Co2(ppm)_scaled
-31.0144582,-30.4565,-31.5335,28,0.075828232,0.212101727,-0.136273495,28,0,0.673402785,0.773457108,0.686709779,252.4540226,0.607362264
-31.10431889,-30.5565,-31.6135,29,0.073700944,0.207295391,-0.133594447,29,0,0.666019721,0.772457904,0.683413695,252.2281087,0.60541473
-31.19386997,-30.6465,-31.72,30,0.064647101,0.209545391,-0.14489829,30,0,0.658662095,0.76820524,0.684956697,251.9573781,0.603080846
-31.28390093,-30.7265,-31.827,31,0.062792826,0.213456321,-0.150663495,31,0,0.651265041,0.767334272,0.68763873,252.3098366,0.606119281
-31.37339009,-30.793,-31.95,32,0.050314104,0.207319963,-0.157005859,32,-0.020854665,0.643912502,0.761472914,0.683430546,251.3639295,0.59796491
-31.46335913,-30.8565,-32.0635,33,0.042321626,0.206790981,-0.164469355,33,-0.056688857,0.636520536,0.757718782,0.683067781,251.0335525,0.595116832
-31.55334365,-30.953,-32.17,34,0.032647175,0.205236648,-0.172589473,34,-0.15409629,0.629127298,0.753174613,0.682001852,250.4738528,0.590291835
-31.64342105,-31.04,-32.2935,35,0.021581086,0.208654903,-0.187073817,35,-0.418877145,0.621726429,0.747976781,0.684346019,250.10749,0.587133534
-31.73402477,-31.103,-32.407,36,0.00665444,0.206576034,-0.199921594,36,-1.13862613,0.614282317,0.740965613,0.682920375,249.0802158,0.578277722
-31.80721362,-31.21,-32.46,37,-0.007084456,0.200884871,-0.207969327,37,-3.09510672,0.608269031,0.734512342,0.679017495,247.9793955,0.568787892
-31.81260062,-31.28,-32.36,38,-0.004490529,0.195007129,-0.199497658,38,0,0.607826429,0.73573073,0.674986664,248.169974,0.57043081
-31.81148607,-31.12,-32.5035,39,-0.011031909,0.189916773,-0.200948683,39,0,0.607918002,0.732658191,0.671495805,247.8757014,0.567893978
-31.78625387,-31.11,-32.4435,40,-0.00975215,0.184609932,-0.194362082,40,0,0.60999111,0.733259304,0.667856485,248.1423802,0.570192932
-31.76119195,-31.1165,-32.3935,41,-0.011907808,0.180807223,-0.192715031,41,-0.022551264,0.612050228,0.732246774,0.665248668,248.2689559,0.571284103
-31.73605263,-31.11,-32.3435,42,-0.011183424,0.18109541,-0.192278834,42,-0.061300691,0.614115705,0.732587023,0.6654463,248.6981568,0.57498411
-31.71136223,-31.1265,-32.2835,43,-0.006025455,0.181406501,-0.187431956,43,-0.166632553,0.616144299,0.735009763,0.66565964,249.2777291,0.579980424
-31.68710526,-31.123,-32.24,44,-0.009003336,0.188289777,-0.197293113,44,-0.45295424,0.61813728,0.733611028,0.670380046,249.6939535,0.583568565
-31.6629257,-31.0965,-32.2,45,-0.01375272,0.183941983,-0.197694703,45,-1.231257279,0.620123903,0.731380204,0.66739842,249.2834699,0.580029913
-31.63857585,-31.08,-32.1835,46,-0.008925466,0.176531554,-0.18545702,46,-3.346904289,0.622124516,0.733647604,0.662316504,249.2587761,0.579817035
-31.61478328,-31.0465,-32.16,47,-0.005128255,0.173603236,-0.178731492,47,0,0.624079343,0.735431185,0.660308326,249.4204805,0.581211039
-31.59086687,-31.02,-32.127,48,0.007013143,0.174435295,-0.167422152,48,0,0.626044344,0.741134099,0.660878934,250.3168546,0.588938401
